x,y,area,mounded,volume,moud_vol,elev
595518.56,4087363.1,322400,55000,918775,434800,7.92
595556.58,4070921.7,38850,4800,15071.5,9410.25,1.96
595580.93,4096531.5,170850,8550,,46982.5,5.5
595595.39,4041140.8,189175,,13583.75, , 
595610.42,4075809.9,54850,15550,67055,43390,2.79
595647.48,4064201.2,11425,375,4723.25,669.425,1.79
595656.32,4068783.2,88950,,68442.5, , 
595674.2,4088982.9,23175,1700,23089.25,6536.5,3.85
595679.5,4061261.7,105125,38250,288300,271725,7.12
595689.79,4110902.7,42750,,, , 
595699.95,4064143.3,113350,14225,19867.25,22579.5,1.59
595718.99,4105526.9,97625,450,6296,1441.6,3.2
595729,4113621.4,669350,,, , 
595791.69,4068419.7,107075,22425,112165,77720,3.47
595794.95,4075708.3,1250,,2721.25, , 
595813,4051218.4,147325,,76045, , 
